Goods name,Goods ID,Purchasing Possibility,Selling area
gooda,1,0.076493873,8
goodb,2,0.679154923,8
goodc,3,0.195242476,1
goodd,4,0.969410203,6
goode,5,0.069412963,0
goodf,6,0.140483254,1
goodg,7,0.609874641,5
goodh,8,0.512363818,1
goodi,9,0.043728979,3
goodj,10,0.957220451,2
goodk,11,0.481791672,6
goodl,12,0.654894147,7
goodm,13,0.221710061,0
goodn,14,0.147595531,1
goodo,15,0.701079779,2
goodp,16,0.184146999,6
goodq,17,0.722010348,1
goodr,18,0.592398728,5
goods,19,0.85090259,3
goodt,20,0.275879356,0
goodu,21,0.563795057,5
goodv,22,0.190961521,2
goodw,23,0.911912652,1
goodx,24,0.469043171,2
goody,25,0.515763494,0
goodz,26,0.444715223,3
goodq,27,0.522254075,7
