Purchase_List,Purchase_Area,Path_List,WayBack_List
"[8, 10, 3, 7]","[SA6, SA8, SA1, SA2]","[R0, R0, SA0, R7, SA7, R5, SA6, SA6, R5, SA7, R6, SA8, SA8, R9, SA0, R1, SA1, SA1, R2, SA2]","[SA2, SA2, SA3, R8, R0]"
"[9, 5, 1]","[SA4, SA3, SA2]","[R0, R0, SA0, R7, SA4, SA4, R7, R8, SA3, SA3, SA2]","[SA2, SA2, SA3, R8, R0]"
"[6, 5, 7, 9, 4, 3]","[SA9, SA3, SA2, SA4, SA5, SA1]","[R0, R0, SA0, R9, SA8, SA9, SA9, SA8, R9, R8, SA3, SA3, SA2, SA2, R3, SA4, SA4, R3, SA5, SA5, R3, SA2, R2, SA1]","[SA1, SA1, R1, R0]"
"[5, 4, 3, 1]","[SA3, SA5, SA1, SA2]","[R0, R0, R8, SA3, SA3, SA2, R3, SA5, SA5, R3, SA2, R2, SA1]","[SA2, SA2, SA3, R8, R0]"
"[2, 3, 7, 4]","[SA3, SA1, SA2, SA5]","[R0, R0, R8, SA3, SA3, SA2, R2, SA1]","[SA5, SA5, R3, SA2, SA3, R8, R0]"
"[6, 10, 4]","[SA9, SA8, SA5]","[R0, R0, SA0, R9, SA8, SA9]","[SA5, SA5, R3, SA2, SA3, R8, R0]"
"[5, 10, 8]","[SA3, SA8, SA6]","[R0, R0, R8, SA3, SA3, R8, R9, SA8, SA8, R6, SA7, R5, SA6]","[SA6, SA6, R5, SA7, R7, SA0, R0]"
"[6, 5, 10]","[SA9, SA3, SA8]","[R0, R0, SA0, R9, SA8, SA9, SA9, SA8, R9, R8, SA3]","[SA8, SA8, R9, SA0, R0]"
"[8, 10, 3]","[SA6, SA8, SA1]","[R0, R0, SA0, R7, SA7, R5, SA6, SA6, R5, SA7, R6, SA8, SA8, R9, SA0, R1, SA1]","[SA1, SA1, R1, R0]"
"[1, 8, 3, 4]","[SA2, SA6, SA1, SA5]","[R0, R0, R8, SA3, SA2, SA2, R3, SA5, R4, SA6, SA6, R4, SA5, R3, SA2, R2, SA1]","[SA5, SA5, R3, SA2, SA3, R8, R0]"
"[2, 9, 3]","[SA3, SA4, SA1]","[R0, R0, R8, SA3, SA3, SA2, R3, SA4, SA4, R7, SA0, R1, SA1]","[SA1, SA1, R1, R0]"
"[10, 6]","[SA8, SA9]","[R0, R0, SA0, R9, SA8, SA8, SA9]","[SA9, SA9, SA8, R9, SA0, R0]"
"[3, 5, 6, 9, 8]","[SA1, SA3, SA9, SA4, SA6]","[R0, R0, R1, SA1, SA1, R1, R8, SA3, SA3, R8, R9, SA8, SA9, SA9, SA8, R9, R7, SA4, SA4, R7, SA7, R5, SA6]","[SA6, SA6, R5, SA7, R7, SA0, R0]"
