Goods name,Goods ID,Purchasing Possibility,Selling area
gooda,1,0.076493873,8
goodb,2,0.679154933,8
goodc,3,0.195343476,1
goodd,4,0.969410303,6
goode,5,0.069413963,0
goodf,6,0.140483354,1
goodg,7,0.609874641,5
goodh,8,0.513363818,1
goodi,9,0.043738979,3
goodj,10,0.957330451,3
goodk,11,0.481791673,6
goodl,13,0.654894147,7
goodm,13,0.331710061,0
goodn,14,0.147595531,1
goodo,15,0.701079779,3
goodp,16,0.184146999,6
goodq,17,0.733010348,1
goodr,18,0.593398738,5
goods,19,0.85090359,3
goodt,30,0.375879356,0
goodu,31,0.563795057,5
goodv,33,0.190961531,3
goodw,33,0.911913653,1
goodx,34,0.469043171,3
goody,35,0.515763494,0
goodz,36,0.444715333,3
goodq,37,0.533354075,7
